Generated UTC: 2026-01-16 20:42:16Z
Rule ID,Rule Name (Short),Best Practices Reference (Section),Best Practices Quote (Exact),Best Practices Intent (1 sentence),Automation Category (YAML),Included in MER Agent? (YAML recommendation),Implementation Status (Sheet-writing agent tool),Implementation Status (Backend rule engine),Evaluation Type / Handler,Data Sources Used (Declared),Key Fields / Schema Required (Concrete),What Evidence the Agent Checks,Agent Output When Rule Fails,Current Limitations,Missing Data / Schema / Config,Notes (wiring / gap details)
BS-CLEARING-ACCOUNTS-ZERO,Clearing accounts should be zero at period end,Best Practices → Clearing accounts (a $0 balance),Clearing accounts (a $0 balance),Ensure clearing accounts are not holding residual balances at month-end unless explicitly allowed.,deterministic,Yes (MVP),Implemented,Not Implemented,balance_sheet_line_items_must_be_zero,QBO Balance Sheet (actual) + MER Google Sheet (review artifact),"MER: selected_month_col; header_row_index; row_label; row_amount | QBO: balance_sheet_lines[{label, amount}] | tolerance",Checks matching BS line labels for non-zero balance(s).,"FAIL with: MER amount, QBO amount, delta, and relevant row label(s).",Backend rule engine lacks handler (or requires external evidence).,(None),
BS-UNDEPOSITED-FUNDS-ZERO,Undeposited Funds should be zero at period end,Best Practices → Bank reconciliations,Bank reconciliations,Ensure undeposited funds don’t sit as an unexplained balance at month-end.,deterministic,Yes (MVP),Implemented,Not Implemented,balance_sheet_line_items_must_be_zero,QBO Balance Sheet (actual) + MER Google Sheet (review artifact),"MER: selected_month_col; header_row_index; row_label; row_amount | QBO: balance_sheet_lines[{label, amount}] | tolerance",Checks matching BS line labels for non-zero balance(s).,"FAIL with: MER amount, QBO amount, delta, and relevant row label(s).",Backend rule engine lacks handler (or requires external evidence).,(None),
BS-PETTY-CASH-MATCH,Petty cash matches between MER and QBO,Best Practices → Petty cash,"Any time the client provides a balance to reconcile to (ideally, monthly) a formal reconciliation should be completed",Ensure petty cash is consistent between MER and QBO (book-to-book check).,deterministic,Yes (MVP),Implemented,Not Implemented,mer_line_amount_matches_qbo_line_amount,MER Google Sheet + QBO Balance Sheet,"MER: selected_month_col; header_row_index; row_label; row_amount | QBO: balance_sheet_lines[{label, amount}] | tolerance",Checks a specific MER row amount equals the matching QBO BS line amount (± tolerance).,"FAIL with: MER amount, QBO amount, delta, and relevant row label(s).",Backend rule engine lacks handler (or requires external evidence).,(None),
BS-PETTY-CASH-FORMAL-RECONCILE-PRESENT,Petty cash has a formal reconciliation artifact,Best Practices → Petty cash,"Any time the client provides a balance to reconcile to (ideally, monthly) a formal reconciliation should be completed",Require an explicit reconciliation artifact (workpaper/link) when petty cash is reconciled.,requires_external_evidence,Yes (MVP),Not Implemented,Not Implemented,support_link_presence_check,"Reconciliation spreadsheet / workpapers (Drive/Sheets) + client-provided petty cash balance evidence | requires_external_sources=reconciliation_spreadsheet,client_maintenance_kyc",MER: comments_col; row_label; row_amount; support_text_present (comment or link),"For scoped rows, requires a non-empty MER Comments cell (link or explanation text).",FAIL with: list of rows missing support + cell addresses.,Not executed by the sheet-writing agent tool yet. Backend rule engine lacks handler (or requires external evidence).,MER Comments column convention: exact column header and required format (link or explanation).,
BS-BANK-AND-CC-INVENTORY-COVERAGE,All bank/credit card accounts from maintenance sheet are included,Best Practices → Bank reconciliations,All accounts listed in the List of bank accounts and credit cards tab in the client’s maintenance sheet need to be formally reconciled every available statement,Ensure every bank/credit card account the client says exists is reconciled and covered in the MER review package.,deterministic,Yes (MVP),Not Implemented,Not Implemented,inventory_accounts_must_exist_in_qbo_and_mer,"Client maintenance/KYC inventory + QBO Chart of Accounts + MER Balance Sheet | requires_external_sources=client_maintenance_kyc,mer_google_sheet",(TBD),(Handler-specific),(TBD),Not executed by the sheet-writing agent tool yet. Backend rule engine lacks handler (or requires external evidence).,(None),
BS-BANK-RECONCILED-THROUGH-PERIOD-END,Bank accounts reconciled through statement date,Best Practices → Bank reconciliations → Banks and Credit cards,"Formal reconciliations should be complete in QBO for all accounts with verifiable balances
Banks and Credit cards
Reconcile to the statement date.",Confirm bank accounts are formally reconciled in QBO through the statement date (typically through month-end).,requires_external_evidence,Planned (Phase 2),Not Implemented,Not Implemented,requires_external_reconciliation_verification,QBO reconciliation evidence (if accessible) OR reconciliation spreadsheet + bank statements,(TBD),(Handler-specific),(TBD),Not executed by the sheet-writing agent tool yet. Backend rule engine lacks handler (or requires external evidence).,(None),QBO reconciliation status isn’t available via current integration; treat as ‘external evidence required’. 
BS-BANK-BOOK-BALANCE-MATCH,(MVP) Bank book balance matches between MER and QBO,Best Practices → Bank reconciliations,Formal reconciliations should be complete in QBO for all accounts with verifiable balances,Proxy check: confirm MER bank book balance matches QBO book balance.,deterministic,No (Disabled),Implemented,Not Implemented,mer_bank_balance_matches_qbo_bank_balance,MER Google Sheet + QBO Balance Sheet,"MER: selected_month_col; header_row_index; row_label; row_amount | QBO: balance_sheet_lines[{label, amount}] | tolerance",(Handler-specific),(TBD),Backend rule engine lacks handler (or requires external evidence). Disabled in YAML (enabled: false).,(None),Rule is intentionally disabled in the YAML.
BS-CC-RECONCILED-THROUGH-PERIOD-END,Credit cards reconciled through statement date,Best Practices → Bank reconciliations → Banks and Credit cards,"Formal reconciliations should be complete in QBO for all accounts with verifiable balances
Banks and Credit cards
Reconcile to the statement date.",Confirm credit cards/LOC accounts are formally reconciled in QBO through the statement date.,requires_external_evidence,Planned (Phase 2),Not Implemented,Not Implemented,requires_external_reconciliation_verification,"QBO reconciliation evidence (if accessible) OR reconciliation spreadsheet + credit card statements | requires_external_sources=reconciliation_spreadsheet,client_maintenance_kyc",(TBD),(Handler-specific),(TBD),Not executed by the sheet-writing agent tool yet. Backend rule engine lacks handler (or requires external evidence).,(None),QBO reconciliation status isn’t available via current integration; treat as ‘external evidence required’. 
BS-CC-DEBIT-BOOK-BALANCE-MATCH-ALL,(MVP) Reconcilable account book balances match between MER and QBO,Best Practices → Bank reconciliations,Formal reconciliations should be complete in QBO for all accounts with verifiable balances,Proxy check: compare MER vs QBO for reconcilable account types.,heuristic,Yes (MVP),Implemented,Not Implemented,mer_credit_debit_accounts_book_balance_match_qbo,MER Google Sheet + QBO Balance Sheet,"MER: selected_month_col; header_row_index; row_label; row_amount | QBO: balance_sheet_lines[{label, amount}] | tolerance",(Handler-specific),(TBD),Backend rule engine lacks handler (or requires external evidence).,(None),
BS-UNCLEARED-ITEMS-INVESTIGATED-AND-FLAGGED,Uncleared transactions are investigated and explained,Best Practices → Bank reconciliations,"Uncleared transactions after a bank reconciliation must be investigated, be flagged to the leads and have a comment in the reconciliation spreadsheet","Ensure every uncleared item is investigated, documented, and escalated when needed.",requires_external_evidence,Yes (MVP),Not Implemented,Not Implemented,reconciliation_uncleared_items_require_explanation_and_flag,"Reconciliation spreadsheet + supporting documents | requires_external_sources=reconciliation_spreadsheet,client_maintenance_kyc","Reconciliation spreadsheet: uncleared_items[{account, txn_id, date, amount, explanation, link(optional), flagged_to_lead}]",(Handler-specific),(TBD),Not executed by the sheet-writing agent tool yet. Backend rule engine lacks handler (or requires external evidence).,Reconciliation spreadsheet schema for uncleared transactions + explanations + lead flag.,
